// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.04 sec)   *****
// Found 5 benchmarks:
//   Bench.NodeBench: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
//   Bench.NodeBenchV2: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
//   Bench.DocBench: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
//   Bench.DocBenchV2: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
//   Bench.DocBenchV3: InProcess(Server=True, Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: Bench.NodeBench: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.8 (8.0.824.36612), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-QBOAFL(Server=True, Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 180200.00 ns, 180.2000 us/op
WorkloadJitting  1: 1 op, 8722300.00 ns, 8.7223 ms/op

OverheadJitting  2: 16 op, 216500.00 ns, 13.5313 us/op
WorkloadJitting  2: 16 op, 2368200.00 ns, 148.0125 us/op

WorkloadPilot    1: 16 op, 2083400.00 ns, 130.2125 us/op
WorkloadPilot    2: 32 op, 4198200.00 ns, 131.1938 us/op
WorkloadPilot    3: 64 op, 8224900.00 ns, 128.5141 us/op
WorkloadPilot    4: 128 op, 17863900.00 ns, 139.5617 us/op
WorkloadPilot    5: 256 op, 32896100.00 ns, 128.5004 us/op
WorkloadPilot    6: 512 op, 62042100.00 ns, 121.1760 us/op
WorkloadPilot    7: 1024 op, 132257900.00 ns, 129.1581 us/op
WorkloadPilot    8: 2048 op, 188855600.00 ns, 92.2146 us/op
WorkloadPilot    9: 4096 op, 299906500.00 ns, 73.2194 us/op
WorkloadPilot   10: 8192 op, 268746300.00 ns, 32.8059 us/op
WorkloadPilot   11: 16384 op, 430739200.00 ns, 26.2902 us/op
WorkloadPilot   12: 32768 op, 867541000.00 ns, 26.4753 us/op

OverheadWarmup   1: 32768 op, 48700.00 ns, 1.4862 ns/op
OverheadWarmup   2: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadWarmup   3: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadWarmup   4: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadWarmup   5: 32768 op, 47900.00 ns, 1.4618 ns/op
OverheadWarmup   6: 32768 op, 49100.00 ns, 1.4984 ns/op
OverheadWarmup   7: 32768 op, 47800.00 ns, 1.4587 ns/op

OverheadActual   1: 32768 op, 47900.00 ns, 1.4618 ns/op
OverheadActual   2: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadActual   3: 32768 op, 47900.00 ns, 1.4618 ns/op
OverheadActual   4: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadActual   5: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadActual   6: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadActual   7: 32768 op, 47700.00 ns, 1.4557 ns/op
OverheadActual   8: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadActual   9: 32768 op, 47700.00 ns, 1.4557 ns/op
OverheadActual  10: 32768 op, 47800.00 ns, 1.4587 ns/op
OverheadActual  11: 32768 op, 49200.00 ns, 1.5015 ns/op
OverheadActual  12: 32768 op, 47900.00 ns, 1.4618 ns/op
